Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-0, Pushpull-topic-2, Pushpull-topic-5];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-0, Pushpull-topic-2, Pushpull-topic-5];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> RemoteSite.getURL]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-1];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-1];[Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Feature Envy -> Config.loadMetadataListToOutput]
HierarchicalData ClassProtocol;Data Class -> Protocol;[Data Class -> HttpClient, Data Class -> Protocol]
HierarchicalIntensive CouplingProtocol;Intensive Coupling -> Protocol;[Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> ImapsClient.getMessageName, Intensive Coupling -> HttpClient.findLinkInATag]
HierarchicalRefused Parent BequestProtocol;Refused Parent Bequest -> Protocol;[Refused Parent Bequest -> JschSftpClient, Refused Parent Bequest -> CogJGlobusFtpClient, Refused Parent Bequest -> LocalClient, Refused Parent Bequest -> HttpClient, Refused Parent Bequest -> CommonsNetFtpClient, Refused Parent Bequest -> ImapsClient]
HierarchicalGod ClassProtocol;God Class -> Protocol;[God Class -> HttpClient, God Class -> ImapsClient, God Class -> Protocol]
HierarchicalDispersed CouplingProtocol;Dispersed Coupling -> Protocol;[Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> ImapsClient.getContentFromHTML]
HierarchicalFeature EnvyProtocol;Feature Envy -> Protocol;[Feature Envy -> ImapsClient.openFolder, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.chDir, Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> HttpClient.createLinkFromHref, Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> CogJGlobusFtpClient.connect, Feature Envy -> ImapsClient.getMessageName]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.convert, Brain Method -> Method.execute, Data Class -> Method, Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-classProtocolHandler;ProtocolHandler;[Data Class -> ProtocolHandler, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.connect, Feature Envy -> ProtocolHandler.passesDynamicDetection, God Class -> ProtocolHandler]
Intra-classProtocol;Protocol;[Data Class -> Protocol, God Class -> Protocol, Shotgun Surgery -> Protocol.getRemoteSite]
Intra-classCogJGlobusFtpClient;CogJGlobusFtpClient;[Feature Envy -> CogJGlobusFtpClient.connect, Refused Parent Bequest -> CogJGlobusFtpClient]
Intra-classDaemon;Daemon;[Dispersed Coupling -> Daemon.startDaemon, Feature Envy -> Daemon.calculateTimeTilNextRun, God Class -> Daemon]
Intra-classProtocolFile;ProtocolFile;[Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> ProtocolFile.getName]
Intra-classDirStructXmlParser;DirStructXmlParser;[Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, God Class -> DirStructXmlParser]
Intra-classCommonsNetFtpClient;CommonsNetFtpClient;[Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> CommonsNetFtpClient.connect, Refused Parent Bequest -> CommonsNetFtpClient]
