Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-7];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-7];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-0, Pushpull-topic-2, Pushpull-topic-5];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-0, Pushpull-topic-2, Pushpull-topic-5];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> RemoteSite.getURL, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-1, Pushpull-topic-3, Pushpull-topic-2, Pushpull-topic-5];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-1, Pushpull-topic-3, Pushpull-topic-2, Pushpull-topic-5];[Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Feature Envy -> Config.loadMetadataListToOutput]
HierarchicalData ClassProtocol;Data Class -> Protocol;[Data Class -> Protocol, Data Class -> HttpClient]
HierarchicalFeature EnvyProtocol;Feature Envy -> Protocol;[Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> HttpClient.createLinkFromHref, Feature Envy -> CogJGlobusFtpClient.connect, Feature Envy -> ImapsClient.getMessageName, Feature Envy -> ImapsClient.openFolder, Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> ImapsClient.chDir]
HierarchicalGod ClassProtocol;God Class -> Protocol;[God Class -> HttpClient, God Class -> ImapsClient, God Class -> Protocol]
HierarchicalRefused Parent BequestProtocol;Refused Parent Bequest -> Protocol;[Refused Parent Bequest -> CogJGlobusFtpClient, Refused Parent Bequest -> JschSftpClient, Refused Parent Bequest -> ImapsClient, Refused Parent Bequest -> CommonsNetFtpClient, Refused Parent Bequest -> LocalClient, Refused Parent Bequest -> HttpClient]
HierarchicalIntensive CouplingProtocol;Intensive Coupling -> Protocol;[Intensive Coupling -> HttpClient.findLinkInATag, Intensive Coupling -> ImapsClient.getMessageName, Intensive Coupling -> HttpClient.createLinkFromHref]
HierarchicalDispersed CouplingProtocol;Dispersed Coupling -> Protocol;[Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> ImapsClient.getContentFromHTML, Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> HttpClient.getFile]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile, God Class -> Config]
