Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-3, Pushpull-topic-2, Pushpull-topic-5, Pushpull-topic-1];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-3, Pushpull-topic-2, Pushpull-topic-5, Pushpull-topic-1];[Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Feature Envy -> Config.loadMetadataListToOutput]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classDaemonManager;DaemonManager;[Feature Envy -> DaemonManager.setAsRunning]
Intra-classProtocolInfo;ProtocolInfo;[Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.convert, Brain Method -> Method.execute, Data Class -> Method, Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-classRemoteCrawler;RemoteCrawler;[Intensive Coupling -> RemoteCrawler.processPropFile]
Intra-classParserInfo;ParserInfo;[Dispersed Coupling -> ParserInfo.loadParserInfo]
Intra-classProtocolHandler;ProtocolHandler;[Data Class -> ProtocolHandler, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.connect, Feature Envy -> ProtocolHandler.passesDynamicDetection, God Class -> ProtocolHandler]
Intra-classRetrievalSetup;RetrievalSetup;[Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-classRemoteSiteFile;RemoteSiteFile;[Shotgun Surgery -> RemoteSiteFile.getSite]
Intra-classFileRetrievalSystem;FileRetrievalSystem;[Brain Class -> FileRetrievalSystem, Brain Method -> FileRetrievalSystem.addToDownloadQueue, Data Class -> FileRetrievalSystem, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, God Class -> FileRetrievalSystem, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classRenamingConvention;RenamingConvention;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace, Feature Envy -> RenamingConvention.getGrandParentPath, Intensive Coupling -> RenamingConvention.grepReplace]
Intra-classFileRestrictions;FileRestrictions;[Intensive Coupling -> FileRestrictions.isAllowed]
Intra-classSiteInfo;SiteInfo;[Dispersed Coupling -> SiteInfo.getPossibleRemoteSites]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile, God Class -> Config]
Intra-classDirStructXmlParser;DirStructXmlParser;[Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, God Class -> DirStructXmlParser]
Intra-classDownloadThreadEvaluator;DownloadThreadEvaluator;[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete]
Intra-classClassNoaaEmailParser;ClassNoaaEmailParser;[Intensive Coupling -> ClassNoaaEmailParser.parse]
Intra-classRemoteSpecs;RemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo]
Intra-classDaemonLauncher;DaemonLauncher;[Feature Envy -> DaemonLauncher.configure]
Intra-classListRetriever;ListRetriever;[Dispersed Coupling -> ListRetriever.processPropFile]
Intra-classDaemon;Daemon;[Dispersed Coupling -> Daemon.startDaemon, Feature Envy -> Daemon.calculateTimeTilNextRun, God Class -> Daemon]
Intra-componentData Classorg.apache.oodt.cas.pushpull.retrievalsystem;Data Class -> org.apache.oodt.cas.pushpull.retrievalsystem;[Data Class -> FileRetrievalSystem]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol;Feature Envy -> org.apache.oodt.cas.pushpull.protocol;[Feature Envy -> ProtocolHandler.passesDynamicDetection]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML]
Intra-componentGod Classorg.apache.oodt.cas.pushpull.daemon;God Class -> org.apache.oodt.cas.pushpull.daemon;[God Class -> Daemon]
Intra-componentGod Classorg.apache.oodt.cas.pushpull.config;God Class -> org.apache.oodt.cas.pushpull.config;[God Class -> Config]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.convert, Brain Method -> Method.execute]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> RetrievalSetup.retrieveFiles]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.retrievalsystem;Brain Method -> org.apache.oodt.cas.pushpull.retrievalsystem;[Brain Method -> FileRetrievalSystem.addToDownloadQueue]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace]
Intra-componentIntensive Couplingorg.apache.oodt.cas.pushpull.retrievalmethod;Intensive Coupling -> org.apache.oodt.cas.pushpull.retrievalmethod;[Intensive Coupling -> RemoteCrawler.processPropFile]
