Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-5, Pushpull-topic-1, Pushpull-topic-3];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-5, Pushpull-topic-1, Pushpull-topic-3];[Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Feature Envy -> Config.loadMetadataListToOutput]
Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> RemoteSiteFile.getSite]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
HierarchicalShotgun SurgeryProtocolFile;Shotgun Surgery -> ProtocolFile;[Shotgun Surgery -> ProtocolFile.getPath, Shotgun Surgery -> ProtocolFile.isDir, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> RemoteSiteFile.getSite]
HierarchicalDispersed CouplingProtocolCliAction;Dispersed Coupling -> ProtocolCliAction;[Dispersed Coupling -> DeleteEmptyDirectoriesCliAction.execute, Dispersed Coupling -> BasicVerifyCliAction.execute]
Intra-classTestHttpUtils;TestHttpUtils;[Feature Envy -> TestHttpUtils.testLazyLinkPattern, Feature Envy -> TestHttpUtils.testXhtmlLinkPattern]
Intra-classRemoteSpecs;RemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.convert, Brain Method -> Method.execute, Data Class -> Method, Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-classProtocolFile;ProtocolFile;[Shotgun Surgery -> ProtocolFile.getPath, Shotgun Surgery -> ProtocolFile.isDir, Shotgun Surgery -> ProtocolFile.getName]
Intra-classFileRetrievalSystem;FileRetrievalSystem;[Brain Class -> FileRetrievalSystem, Brain Method -> FileRetrievalSystem.addToDownloadQueue, Data Class -> FileRetrievalSystem, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.initializeStagingArea, God Class -> FileRetrievalSystem, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
